layer,label,cosine
30,stressed,0.09279474744011319
30,calm,-0.11798810857326487
30,self-confident,-0.06267017950058447
30,content,-0.03447544813755788
30,happy,-0.02159881095875161
30,hopeful,-0.09636433028771282
30,clinical_depression,-0.0018491678970196425
30,acute_grief,0.05665928232651052
30,burnout_exhaustion,0.013861847846192876
30,physical_illness_fatigue,0.07578378089825699
30,anxiety_panic,-0.0637865789804532
30,frustration_blocked_goal,-0.03072209859384858
30,pain_axis,-0.010306020878407745
32,depressed,0.04094264465654044
32,sad,0.007715389227456104
32,gloomy,0.024322501761692143
32,melancholy,-0.011119245078329718
32,miserable,0.0594707216281892
32,dispirited,0.03000025777643835
32,listless,0.008718798334904184
32,weary,0.020218801650565138
32,worn out,0.039593473032585993
32,tired,0.01662609213629459
32,resigned,-0.026683709836135033
32,lonely,-0.025896889067739435
32,heartbroken,0.027344161649580662
32,grief-stricken,0.035786212888145846
32,worthless,0.035091534441311946
32,self-critical,-0.02592493109413759
32,ashamed,-0.012121006432788855
32,guilty,-0.03416552286182405
32,humiliated,-0.0016424663306249302
32,embarrassed,-0.023339517755951302
32,regretful,-0.04444161136333175
32,sorry,-0.01616028686611839
32,desperate,0.06239600731913187
32,panicked,0.031551541587079394
32,hysterical,0.03370763689367941
32,overwhelmed,0.04457006989153048
32,distressed,0.050204432211123064
32,tormented,0.0547688657436327
32,trapped,0.025459601919140033
32,stuck,0.01674539844703346
32,frustrated,0.019169365856219332
32,exasperated,0.02659099852619594
32,angry,0.024231569636351435
32,anxious,0.020293286377431143
32,afraid,0.01843363175088689
32,nervous,0.0057089624197728985
32,stressed,0.04417538015350954
32,calm,-0.07875354951715645
32,self-confident,-0.05819280029839299
32,content,-0.060233381611596144
32,happy,-0.04693248442897314
32,hopeful,-0.039078947000381246
32,clinical_depression,0.007572341407215709
32,acute_grief,-0.03233664592134195
32,burnout_exhaustion,-0.002881478065106634
32,physical_illness_fatigue,-0.012650695036190656
32,anxiety_panic,0.001547650059385142
32,frustration_blocked_goal,0.02384816120940542
32,pain_axis,-0.02799823853066006
34,depressed,0.039912958197349274
34,sad,-0.013378337037174831
34,gloomy,0.013567525824136407
34,melancholy,-0.02088796010734447
34,miserable,0.06135343252343493
34,dispirited,0.0314300794576581
34,listless,0.010362366213570586
34,weary,0.026257225660546984
34,worn out,0.03271759179932468
34,tired,0.001949365169515081
34,resigned,-0.01897285415642772
34,lonely,-0.024265553105712698
34,heartbroken,0.004871164539928903
34,grief-stricken,0.013421320347913494
34,worthless,0.03976794126025
34,self-critical,-0.010080521468844342
34,ashamed,-0.0004949033672184936
34,guilty,-0.02303446576730513
34,humiliated,-0.011174101472677037
34,embarrassed,-0.03726378744175821
34,regretful,-0.04252161468738431
34,sorry,-0.01980704008225242
34,desperate,0.10202089809337204
34,panicked,0.030664866069399728
34,hysterical,0.027566720404348717
34,overwhelmed,0.03933854088714357
34,distressed,0.049334994767609615
34,tormented,0.054758941821722376
34,trapped,0.045811097679406075
34,stuck,0.037940960529235235
34,frustrated,0.028047185105036086
34,exasperated,0.026532920985518033
34,angry,0.02379753428565849
34,anxious,0.02707238992331926
34,afraid,0.006100726239534635
34,nervous,0.011655913925897907
34,stressed,0.05396624538501326
34,calm,-0.0886338000220333
34,self-confident,-0.04795078441075385
34,content,-0.06729209067229094
34,happy,-0.05730457213421433
34,hopeful,-0.03155156295059392
34,clinical_depression,0.0016075028963570355
34,acute_grief,-0.06196279671062287
34,burnout_exhaustion,-0.00844011043577569
34,physical_illness_fatigue,-0.02627165207987629
34,anxiety_panic,0.025236104453018906
34,frustration_blocked_goal,0.03557335001065771
34,pain_axis,-0.008769359141911492
36,depressed,0.04732641056014977
